City,0 to 14 years,15 to 29 years,30 to 44 years,45 to 64 years,65 years and over,Median age of the population,Married or living common-law,Not married and not living common-law,Average size of census families,Average number of children in census families with children,Median total income in 2020 among recipients ($),Cushitic languages,Semitic languages,Austro-Asiatic languages,Austronesian languages,Dravidian languages,Slavic languages,Germanic languages,Indo-Aryan languages,Iranian languages,Italic (Romance) languages,Japanese,Korean,Niger-Congo languages,Sino-Tibetan languages,Turkic languages,Buddhist,Christian,Hindu,Jewish,Muslim,Sikh,Traditional (North American Indigenous) spirituality,Other religions and spiritual traditions,No religion and secular perspectives,"Postsecondary certificate, diploma or degree","Postsecondary certificate, diploma or degree",Bachelor's degree or higher,Bachelor's degree or higher,"Postsecondary certificate, diploma or degree","Postsecondary certificate, diploma or degree",Bachelor's degree or higher,Bachelor's degree or higher
Toronto,13.75254263,20.19839276,23.13287928,25.84674251,17.06958598,39.6,43.423601,42.82364165,2.9,1.7,39200,0.433373557,2.084201154,1.028859601,3.681349119,2.43329769,3.698168737,0.610516341,5.372615372,2.04734114,7.185197591,0.241200477,1.173973538,0.503514942,8.368475599,0.483653479,2.235756647,45.60800413,6.154548669,3.556812375,9.453162017,0.771018439,0.033460304,0.741852506,30.26153432,53.06625212,41.560381,34.94973439,28.31886846,53.06625212,41.560381,34.94973439,28.31886846
Mississauga,15.2264538,20.62298649,19.44534592,28.07325189,16.63042979,40.8,47.77209347,37.00200986,3.1,1.8,39200,0.149033165,5.036485269,1.454117981,3.025233961,2.455565135,6.335998752,0.427599828,11.95538476,0.880967072,5.93834484,0.104462499,0.608668159,0.291102163,5.616600345,0.199871581,1.991751641,49.54795595,8.707993888,0.192210998,16.8484082,3.41313804,0,0.621900075,17.95919277,51.6782945,39.82458657,32.12361117,25.78482675,51.6782945,39.82458657,32.12361117,25.78482675
Brampton,17.92286132,23.39979893,21.86129052,24.35184621,12.46496466,36,46.61147331,35.46566537,3.2,1.9,36000,0.118053863,1.142456739,0.671764563,1.777662686,3.284182306,1.011455033,0.284090909,32.5386912,0.635967585,3.771630514,0.019040946,0.051791372,0.774585669,0.846179625,0.073878869,1.082287351,35.37350719,17.88249452,0.081495247,9.055112113,24.86899829,0,0.445558128,10.24631367,44.22907019,34.88834389,24.58566902,20.57259932,44.22907019,34.88834389,24.58566902,20.57259932
Milton,24.74734907,17.47485531,25.58617423,22.99344191,9.186941619,35.2,48.67192705,26.57751306,3.4,2,47600,0,4.575409981,0.413392305,1.874312685,1.790028817,2.721164883,0.35720306,14.79783912,0.935149584,4.635612744,0,0.413392305,0.301013815,1.798055852,0.200675876,0.674270945,47.02237135,6.333330658,0.196662359,24.09314571,2.400083481,0,0.37325713,17.71566636,48.23445364,41.28304128,30.54286838,27.08321627,48.23445364,41.28304128,30.54286838,27.08321627
Markham,15.91714106,18.39274689,19.17265135,28.18586541,18.33366322,42.4,51.39836279,32.6821328,3,1.7,36000,0.04135857,0.892163437,0.344162386,1.559808923,4.645453659,1.240757098,0.302803816,5.243675832,2.527304042,2.042817937,0.141800811,1.033964248,0.093056782,37.2315755,0.214178309,3.992579091,34.92288104,9.123995947,1.43277903,7.856651197,1.110773021,0,0.549478143,40.63922624,49.74549709,38.25372301,32.84018162,26.10907437,49.74549709,38.25372301,32.84018162,26.10907437
RichmondHill,14.83501797,18.75043312,18.03516449,31.22184713,17.15902228,43.6,51.37311778,33.79087426,3,1.7,36800,0.061874449,1.759709339,0.299472335,1.168189603,0.742493392,5.338527487,0.415796299,2.633376563,11.87494431,4.801457267,0.136123788,2.296779559,0.150973656,24.80670422,0.670719031,2.229955153,39.34719981,2.509627664,4.249537179,12.90701013,0.299472335,0,0.836542555,37.06527012,55.72412906,43.61406183,37.87211294,30.7194266,55.72412906,43.61406183,37.87211294,30.7194266
Oakville,17.98052947,18.81324295,17.85889717,29.62682273,15.71629733,41.6,50.41892973,31.59633045,3.1,1.8,47200,0,3.648969166,0.261977273,1.075978087,0.762540992,4.804476069,1.043230928,5.431350259,0.954345782,5.712040195,0.109936892,1.157845985,0.163735796,8.336491095,0.374253248,1.118081578,52.17558091,4.448935483,0.62687419,10.29898156,1.892317984,0,0.533310878,28.10407983,55.47836582,43.55138263,38.93637227,31.79983065,55.47836582,43.55138263,38.93637227,31.79983065
Burlington,14.61314625,15.29078806,18.65109419,27.53218799,23.90879739,46,50.67963487,34.70721888,2.8,1.7,48000,0,1.331366843,0.20727867,0.841073066,0.267070594,3.400167417,1.510742616,1.725993542,0.665683422,3.523737394,0,0.326862518,0.127556105,1.124088173,0.20727867,0.558057958,57.9304022,1.462909076,0.474349265,3.037429744,0.538127317,0,0.562044087,33.9777574,52.39367003,37.74464862,27.27308965,20.99095149,52.39367003,37.74464862,27.27308965,20.99095149
Pickering,16.53963261,18.77281068,20.17421814,27.94749259,16.56987881,40.8,48.51995241,34.93940677,3,1.8,45200,0,1.386284355,0.161313089,2.036577743,3.448067268,1.532474341,0.725908898,6.53822112,1.663541226,3.039743512,0,0.226846531,0.211723429,1.759320872,0,0.51418547,53.40975541,8.277377856,0.378077551,12.48160023,0.756155103,0,0.473857198,23.0728127,49.65418507,38.76051056,25.45218075,20.79426532,49.65418507,38.76051056,25.45218075,20.79426532
Ajax,18.79352,19.5158922,21.1501113,27.4501445,13.09349,38.4,47.2305117,33.9751788,3.2,1.8,42400,0,1.4250075,0.24868552,2.57764515,5.85792557,1.10526898,0.45000237,8.03293702,2.28948573,2.34869657,0,0.13815862,0.34342286,1.95001026,0.1105269,0.64342444,50.6568456,11.5855873,0.2210538,14.0290212,1.29474366,0,0.52105537,20.7040563,46.9502471,37.5909873,23.8501255,19.8711572,46.9502471,37.5909873,23.8501255,19.8711572
Whitby,19.07928463,18.01070028,20.2020202,27.9456466,14.75801619,40,48.43647338,32.48713006,3.1,1.8,48000,0,0.797828175,0.155233536,1.050533931,2.212980412,1.527064787,0.794218092,4.119103833,1.155226316,2.945827106,0,0.231045263,0.263536003,2.425975264,0.075811727,0.649814803,53.62416156,5.335701547,0.328517484,6.602840413,0.48375102,0,0.444040115,31.19472062,48.02492401,38.16217933,24.01787713,19.93126403,48.02492401,38.16217933,24.01787713,19.93126403
Waterloo,17.26431242,21.16781484,20.97536468,25.04406768,15.54844039,38,47.35381026,35.38272888,3,1.8,42400,0.37979103,2.378377458,0.694864306,0.582459786,0.812378122,3.04939838,2.535062546,5.08800763,1.072100687,4.556640808,0.080897192,0.456430475,0.197559459,2.341760834,0.321885671,0.953735321,52.37710013,3.337222076,0.253761719,6.586734564,2.096514608,0.021288735,0.75958206,32.28819838,45.5408616,35.63904524,23.28732128,18.8362726,45.5408616,35.63904524,23.28732128,18.8362726